Match,Match Days,Match Dates,Team 1,Team 2,Match Stage,Yellow Cards,Red Cards,Offsides,Corners,Team 1 Goals,Team 2 Goals,Regular Time Goals,Penalty Shoot-outs,Stadium
1,1,20-Nov-22,Qatar,Ecuador,Group,6,0,7,4,0,2,2,0,Al Bayt Stadium
2,2,21-Nov-22,Senegal,Netherlands,Group,3,0,3,13,0,2,2,0,Al Thumama Stadium
3,2,21-Nov-22,England,Iran,Group,2,0,4,8,6,2,8,0,Khalifa International Stadium
4,2,21-Nov-22,USA,Wales,Group,6,0,2,8,1,1,2,0,Ahmad Bin Ali Stadium
5,3,22-Nov-22,France,Australia,Group,3,0,0,9,4,1,5,0,Al Janoub Stadium
6,3,22-Nov-22,Denmark,Tunisia,Group,3,0,2,20,0,0,0,0,Education City Stadium
7,3,22-Nov-22,Mexico,Poland,Group,3,0,3,11,0,0,0,0,Stadium 974
8,3,22-Nov-22,Argentina,Saudi Arabia,Group,6,0,11,11,1,2,3,0,Lusail Stadium
9,4,23-Nov-22,Belgium,Canada,Group,5,0,1,8,1,0,1,0,Ahmad Bin Ali Stadium
10,4,23-Nov-22,Spain,Costa Rica,Group,2,0,10,5,7,0,7,0,Al Thumama Stadium
11,4,23-Nov-22,Germany,Japan,Group,0,0,8,12,1,2,3,0,Khalifa International Stadium
12,4,23-Nov-22,Morocco,Croatia,Group,1,0,1,5,0,0,0,0,Al Bayt Stadium
13,5,24-Nov-22,Switzerland,Cameroon,Group,3,0,4,16,1,0,1,0,Al Janoub Stadium
14,5,24-Nov-22,Uruguay,South Korea,Group,2,0,1,7,0,0,0,0,Education City Stadium
15,5,24-Nov-22,Portugal,Ghana,Group,6,0,2,6,3,2,5,0,Stadium 974
16,5,24-Nov-22,Brazil,Serbia,Group,3,0,1,10,2,0,2,0,Lusail Stadium
17,6,25-Nov-22,Wales,Iran,Group,3,1,4,9,0,2,2,0,Ahmad Bin Ali Stadium
18,6,25-Nov-22,Qatar,Senegal,Group,6,0,7,12,1,3,4,0,Al Thumama Stadium
19,6,25-Nov-22,Netherlands,Ecuador,Group,1,0,5,7,1,1,2,0,Khalifa International Stadium
20,6,25-Nov-22,England,USA,Group,0,0,1,10,0,0,0,0,Al Bayt Stadium
21,7,26-Nov-22,Tunisia,Australia,Group,3,0,3,7,0,1,1,0,Al Janoub Stadium
22,7,26-Nov-22,Poland,Saudi Arabia,Group,5,0,0,9,2,0,2,0,Education City Stadium
23,7,26-Nov-22,France,Denmark,Group,3,0,2,10,2,1,3,0,Stadium 974
24,7,26-Nov-22,Argentina,Mexico,Group,5,0,6,6,2,0,2,0,Lusail Stadium
25,8,27-Nov-22,Japan,Costa Rica,Group,6,0,2,5,0,1,1,0,Ahmad Bin Ali Stadium
26,8,27-Nov-22,Belgium,Morocco,Group,2,0,6,10,0,2,2,0,Al Thumama Stadium
27,8,27-Nov-22,Croatia,Canada,Group,4,0,4,7,4,1,5,0,Khalifa International Stadium
28,8,27-Nov-22,Spain,Germany,Group,4,0,7,11,1,1,2,0,Al Bayt Stadium
29,9,28-Nov-22,Cameroon,Serbia,Group,4,0,4,7,3,3,6,0,Al Janoub Stadium
30,9,28-Nov-22,South Korea,Ghana,Group,4,0,2,17,2,3,5,0,Education City Stadium
31,9,28-Nov-22,Brazil,Switzerland,Group,2,0,4,11,1,0,1,0,Stadium 974
32,9,28-Nov-22,Portugal,Uruguay,Group,5,0,3,8,2,0,2,0,Lusail Stadium
33,10,29-Nov-22,Ecuador,Senegal,Group,1,0,3,9,1,2,3,0,Khalifa International Stadium
34,10,29-Nov-22,Netherlands,Qatar,Group,1,0,5,6,2,0,2,0,Al Bayt Stadium
35,10,29-Nov-22,Iran,USA,Group,4,0,3,6,0,1,1,0,Al Thumama Stadium
36,10,29-Nov-22,Wales,England,Group,2,0,2,7,0,3,3,0,Ahmad Bin Ali Stadium
37,11,30-Nov-22,Australia,Denmark,Group,3,0,4,8,1,0,1,0,Al Janoub Stadium
38,11,30-Nov-22,Tunisia,France,Group,1,0,5,15,1,0,1,0,Education City Stadium
39,11,30-Nov-22,Poland,Argentina,Group,2,0,1,10,0,2,2,0,Stadium 974
40,11,30-Nov-22,Saudi Arabia,Mexico,Group,7,0,8,9,1,2,3,0,Lusail Stadium
41,12,1-Dec-22,Croatia,Belgium,Group,1,0,4,6,0,0,0,0,Ahmad Bin Ali Stadium
42,12,1-Dec-22,Canada,Morocco,Group,4,0,8,8,1,2,3,0,Al Thumama Stadium
43,12,1-Dec-22,Japan,Spain,Group,3,0,4,2,2,1,3,0,Khalifa International Stadium
44,12,1-Dec-22,Costa Rica,Germany,Group,1,0,7,15,2,4,6,0,Al Bayt Stadium
45,13,2-Dec-22,Ghana,Uruguay,Group,7,0,4,7,0,2,2,0,Al Janoub Stadium
46,13,2-Dec-22,South Korea,Portugal,Group,2,0,6,9,2,1,3,0,Education City Stadium
47,13,2-Dec-22,Serbia,Switzerland,Group,11,0,0,2,2,3,5,0,Stadium 974
48,13,2-Dec-22,Cameroon,Brazil,Group,5,1,1,14,1,0,1,0,Lusail Stadium
49,14,3-Dec-22,Netherlands,USA,Round of 16,2,0,3,9,3,1,4,0,Khalifa International Stadium
50,14,3-Dec-22,Argentina,Australia,Round of 16,2,0,3,4,2,1,3,0,Ahmad Bin Ali Stadium
51,15,4-Dec-22,England,Senegal,Round of 16,1,0,0,6,3,0,3,0,Al Bayt Stadium
52,15,4-Dec-22,France,Poland,Round of 16,3,0,4,8,3,1,4,0,Al Thumama Stadium
53,16,5-Dec-22,Japan,Croatia,Round of 16,2,0,3,13,1,1,2,4,Al Janoub Stadium
54,16,5-Dec-22,Brazil,South Korea,Round of 16,1,0,5,9,4,1,5,0,Stadium 974
55,17,6-Dec-22,Morocco,Spain,Round of 16,2,0,9,8,0,0,0,3,Education City Stadium
56,17,6-Dec-22,Portugal,Switzerland,Round of 16,2,0,6,12,6,1,7,0,Lusail Stadium
57,18,9-Dec-22,Netherlands,Argentina,Quarter Final,18,1,3,10,2,2,4,7,Lusail Stadium
58,18,9-Dec-22,Croatia,Brazil,Quarter Final,5,0,6,10,1,1,2,6,Education City Stadium
59,19,10-Dec-22,England,France,Quarter Final,4,0,3,7,1,2,3,0,Al Bayt Stadium
60,19,10-Dec-22,Morocco,Portugal,Quarter Final,2,1,4,12,1,0,1,0,Al Thumama Stadium
61,20,13-Dec-22,Argentina,Croatia,Semi Final,4,0,1,6,3,0,3,0,Lusail Stadium
62,21,14-Dec-22,France,Morocco,Semi Final,1,0,7,5,2,0,2,0,Al Bayt Stadium
63,22,17-Dec-22,Croatia,Morocco,Third Place,2,0,4,9,2,1,3,0,Khalifa International Stadium
64,23,18-Dec-22,Argentina,France,Final,8,0,8,11,3,3,6,6,Lusail Stadium
